timestamp,piezo
140000,4
140010,0
140020,3
140030,0
140040,3
140050,1
140060,2
140070,3
140080,2
140090,1
140100,1
140110,1
140120,0
140130,4
140140,3
140150,0
140160,1
140170,1
140180,1
140190,0
140200,0
140210,4
140220,0
140230,4
140240,1
140250,4
140260,0
140270,3
140280,4
140290,0
140300,4
140310,2
140320,0
140330,4
140340,3
140350,2
140360,0
140370,4
140380,4
140390,3
140400,4
140410,4
140420,4
140430,1
140440,4
140450,4
140460,3
140470,0
140480,1
140490,3
140500,0
140510,2
140520,3
140530,0
140540,0
140550,3
140560,2
140570,3
140580,3
140590,1
140600,0
140610,0
140620,4
140630,4
140640,4
140650,3
140660,4
140670,1
140680,4
140690,3
140700,4
140710,2
140720,3
140730,0
140740,2
140750,1
140760,1
140770,2
140780,1
140790,4
