timestamp,piezo
130000,3
130010,2
130020,3
130030,1
130040,4
130050,1
130060,4
130070,2
130080,4
130090,3
130100,2
130110,0
130120,3
130130,1
130140,3
130150,1
130160,1
130170,4
130180,2
130190,2
130200,0
130210,4
130220,3
130230,3
130240,4
130250,3
130260,1
130270,3
130280,2
130290,0
130300,4
130310,0
130320,1
130330,3
130340,1
130350,0
130360,0
130370,2
130380,3
130390,3
130400,2
130410,3
130420,4
130430,4
130440,3
130450,1
130460,1
130470,0
130480,4
130490,3
130500,2
130510,4
130520,3
130530,0
130540,2
130550,3
130560,1
130570,3
130580,0
130590,2
130600,2
130610,0
130620,2
130630,1
130640,3
130650,1
130660,1
130670,0
130680,0
130690,3
130700,2
130710,4
130720,1
130730,1
130740,3
130750,2
130760,3
130770,1
130780,0
130790,3
