timestamp,piezo
100000,2
100010,0
100020,2
100030,3
100040,2
100050,2
100060,1
100070,2
100080,3
100090,3
100100,0
100110,0
100120,0
100130,1
100140,2
100150,4
100160,4
100170,1
100180,0
100190,0
100200,0
100210,1
100220,0
100230,4
100240,3
100250,3
100260,4
100270,1
100280,2
100290,0
100300,2
100310,1
100320,4
100330,3
100340,0
100350,1
100360,3
100370,1
100380,4
100390,0
100400,2
100410,3
100420,3
100430,3
100440,0
100450,1
100460,0
100470,4
100480,2
100490,1
100500,3
100510,4
100520,4
100530,1
100540,4
100550,0
100560,2
100570,0
100580,1
100590,0
100600,4
100610,4
100620,3
100630,2
100640,3
100650,1
100660,3
100670,1
100680,1
100690,4
100700,4
100710,1
100720,3
100730,0
100740,2
100750,3
100760,3
100770,0
100780,1
100790,4
