timestamp,piezo
60000,3
60010,1
60020,3
60030,2
60040,1
60050,2
60060,1
60070,4
60080,4
60090,0
60100,3
60110,0
60120,3
60130,1
60140,0
60150,1
60160,2
60170,3
60180,1
60190,0
60200,2
60210,0
60220,0
60230,1
60240,1
60250,1
60260,0
60270,3
60280,2
60290,1
60300,3
60310,3
60320,1
60330,1
60340,3
60350,4
60360,4
60370,2
60380,3
60390,4
60400,0
60410,0
60420,0
60430,2
60440,1
60450,3
60460,2
60470,2
60480,1
60490,2
60500,0
60510,3
60520,2
60530,2
60540,1
60550,1
60560,4
60570,2
60580,1
60590,4
60600,4
60610,4
60620,1
60630,2
60640,4
60650,2
60660,4
60670,2
60680,2
60690,4
60700,0
60710,3
60720,4
60730,3
60740,1
60750,1
60760,1
60770,1
60780,3
60790,0
