timestamp,piezo
110000,4
110010,1
110020,1
110030,3
110040,3
110050,4
110060,3
110070,2
110080,3
110090,4
110100,3
110110,2
110120,0
110130,4
110140,2
110150,1
110160,3
110170,3
110180,3
110190,4
110200,1
110210,1
110220,2
110230,2
110240,0
110250,3
110260,2
110270,1
110280,0
110290,3
110300,2
110310,0
110320,1
110330,1
110340,1
110350,3
110360,3
110370,0
110380,4
110390,1
110400,1
110410,2
110420,1
110430,0
110440,1
110450,0
110460,3
110470,4
110480,3
110490,3
110500,2
110510,4
110520,2
110530,0
110540,0
110550,3
110560,1
110570,2
110580,3
110590,3
110600,2
110610,1
110620,4
110630,4
110640,1
110650,1
110660,0
110670,4
110680,3
110690,3
110700,0
110710,0
110720,4
110730,2
110740,1
110750,1
110760,1
110770,2
110780,1
110790,3
