timestamp,piezo
80000,4
80010,0
80020,0
80030,0
80040,3
80050,3
80060,4
80070,2
80080,3
80090,2
80100,2
80110,0
80120,0
80130,3
80140,3
80150,1
80160,2
80170,3
80180,2
80190,0
80200,3
80210,3
80220,3
80230,2
80240,4
80250,4
80260,0
80270,1
80280,2
80290,4
80300,4
80310,0
80320,0
80330,2
80340,4
80350,0
80360,2
80370,1
80380,0
80390,4
80400,4
80410,4
80420,0
80430,1
80440,3
80450,0
80460,3
80470,2
80480,1
80490,2
80500,4
80510,2
80520,0
80530,3
80540,3
80550,2
80560,1
80570,0
80580,0
80590,4
80600,4
80610,1
80620,3
80630,3
80640,0
80650,2
80660,4
80670,2
80680,4
80690,4
80700,0
80710,4
80720,0
80730,1
80740,1
80750,0
80760,1
80770,2
80780,4
80790,3
