timestamp,piezo
90000,3
90010,4
90020,4
90030,0
90040,2
90050,1
90060,3
90070,3
90080,3
90090,0
90100,4
90110,2
90120,2
90130,3
90140,4
90150,2
90160,3
90170,4
90180,4
90190,3
90200,2
90210,0
90220,1
90230,0
90240,4
90250,1
90260,3
90270,3
90280,3
90290,3
90300,3
90310,0
90320,1
90330,2
90340,4
90350,1
90360,1
90370,0
90380,4
90390,2
90400,3
90410,4
90420,4
90430,3
90440,1
90450,1
90460,0
90470,4
90480,0
90490,3
90500,0
90510,3
90520,4
90530,4
90540,3
90550,1
90560,0
90570,0
90580,1
90590,0
90600,0
90610,4
90620,4
90630,2
90640,0
90650,1
90660,0
90670,4
90680,4
90690,2
90700,3
90710,3
90720,4
90730,3
90740,3
90750,2
90760,4
90770,1
90780,2
90790,2
